km,stage_fit,fit_p10,fit_p90,n_points
17.4,117.5,102.5,155.6,20
17.5,118.5,103.2,154.9,21
17.6,118.1,102.5,155.6,20
17.7,119.8,103.2,154.9,21
17.8,120.9,103.2,154.1,22
17.9,120.9,103.2,154.1,22
18.0,121.9,103.3,153.2,23
18.1,121.9,103.3,160.4,23
18.2,123.3,103.3,162.0,24
18.3,120.9,103.3,162.0,24
18.4,121.9,103.3,162.1,23
18.5,124.0,103.3,162.0,24
18.6,126.2,103.4,166.2,25
18.7,133.2,103.4,173.0,25
18.8,136.5,103.3,178.0,25
18.9,141.0,106.1,181.0,23
19.0,143.0,107.3,180.7,24
19.1,145.0,117.0,181.0,23
19.2,146.5,119.7,181.6,21
19.3,146.5,119.7,181.6,21
19.4,149.0,120.4,183.5,22
19.5,151.4,121.0,183.3,23
19.6,164.0,121.7,186.1,24
19.7,163.2,120.7,185.8,25
19.8,151.4,111.2,185.1,27
19.9,151.4,101.8,185.1,27
20.0,151.4,101.8,185.1,27
20.1,157.3,101.4,185.5,26
20.2,148.2,100.5,186.1,24
20.3,142.8,95.3,185.5,26
20.4,140.5,94.6,185.8,25
20.5,140.5,94.6,185.8,25
20.6,145.9,93.9,186.1,24
20.7,136.5,91.1,188.6,20
20.8,136.5,91.1,188.6,20
20.9,136.5,88.1,181.5,16
21.0,136.5,88.1,181.5,16
21.1,132.5,87.3,182.6,15
21.2,122.2,85.8,184.9,13
21.3,122.2,85.8,184.9,13
21.4,120.2,84.3,175.8,11
21.5,120.2,84.3,175.8,11
21.6,109.7,83.8,177.0,10
21.7,95.3,81.8,109.7,6
21.8,95.3,81.8,109.7,6
22.1,98.0,81.4,111.6,5
22.2,95.0,76.9,109.4,6
22.3,91.9,77.4,107.3,7
22.6,79.4,71.3,91.7,5
22.7,80.8,71.8,95.8,6
22.8,82.2,72.3,109.7,7
22.9,82.2,72.3,109.7,7
23.0,87.9,72.8,110.9,8
23.1,87.9,72.8,110.9,8
23.2,87.9,72.8,110.9,8
23.3,93.7,73.3,133.7,9
23.4,92.1,73.8,130.5,10
23.5,93.7,74.4,127.2,11
23.6,93.7,74.4,127.2,11
23.7,92.1,69.7,124.9,12
23.8,90.6,66.8,122.6,13
23.9,92.1,66.5,124.9,12
24.0,92.1,66.5,124.9,12
24.1,92.1,66.5,124.9,12
24.2,90.6,58.3,127.2,11
24.3,90.6,58.3,127.2,11
24.4,90.6,58.3,127.2,11
24.5,85.3,59.0,124.9,12
24.6,85.3,59.0,124.9,12
24.7,85.3,57.7,130.5,10
24.8,85.3,57.7,130.5,10
24.9,80.0,57.1,115.1,9
25.0,80.0,57.1,115.1,9
25.1,80.0,57.1,111.4,9
25.2,80.0,57.1,111.4,9
25.3,77.8,57.7,105.4,10
25.4,71.0,57.7,100.1,10
25.5,71.0,58.8,105.6,12
25.6,71.0,58.8,104.8,12
25.7,75.5,58.3,106.3,11
25.8,75.5,58.3,106.3,11
25.9,75.5,58.3,106.3,11
26.0,74.1,58.8,104.8,12
26.1,74.1,58.8,104.8,12
26.2,75.5,63.6,106.3,11
26.3,75.5,63.6,106.3,11
26.4,76.3,62.1,107.0,10
26.5,80.0,63.6,106.3,11
26.6,78.4,63.8,105.9,12
26.7,78.4,63.8,105.9,12
26.8,80.4,64.0,105.7,13
26.9,84.5,64.4,105.0,15
27.0,82.5,64.6,104.7,16
27.1,84.6,65.0,104.1,18
27.2,84.6,65.0,104.1,18
27.3,84.6,65.4,103.5,20
27.4,85.6,69.9,102.9,18
27.5,84.7,63.4,102.8,19
27.6,84.7,68.6,102.1,17
27.7,85.6,67.6,102.2,16
27.8,84.7,66.7,102.1,17
27.9,85.6,71.1,102.2,16
28.0,84.7,68.7,102.1,17
28.1,85.6,68.5,102.2,16
28.2,85.6,68.5,102.2,16
28.3,85.6,68.5,102.2,16
28.4,85.6,68.5,102.2,16
28.5,85.6,68.5,102.2,16
28.6,86.5,68.3,102.3,15
28.7,86.5,67.9,101.0,13
28.8,86.5,67.9,101.0,13
28.9,84.2,67.0,98.6,10
29.0,84.2,67.0,98.6,10
29.1,90.3,66.5,98.9,9
29.2,73.3,65.0,96.0,6
29.3,73.3,65.0,96.0,6
29.9,66.6,61.2,67.4,5
30.0,67.0,61.8,70.0,6
30.1,65.7,58.0,69.9,6
30.2,64.7,58.1,69.4,7
30.3,64.6,58.3,68.9,8
30.4,64.4,58.5,68.4,9
30.5,64.0,56.7,67.8,10
30.6,64.4,57.0,72.5,11
30.7,63.6,53.7,71.5,13
30.8,63.0,54.1,70.4,15
30.9,59.9,54.6,69.4,17
31.0,59.4,53.2,68.9,18
31.1,58.9,53.2,68.4,19
31.2,59.4,53.2,71.8,20
31.3,59.4,53.2,71.8,20
31.4,58.9,53.1,71.7,21
31.5,58.9,48.7,71.3,22
31.6,58.8,48.2,70.8,23
31.7,58.7,48.2,70.4,24
31.8,58.4,48.2,69.5,26
31.9,57.4,48.2,69.9,25
32.0,57.4,48.2,69.0,27
32.1,57.9,48.2,67.3,28
32.2,58.3,48.2,67.8,27
32.3,58.4,48.2,73.0,28
32.4,58.4,48.2,72.1,30
32.5,58.4,48.2,72.1,30
32.6,58.8,48.2,76.1,31
32.7,59.3,48.2,76.6,30
32.8,60.9,48.2,81.5,30
32.9,60.9,48.3,80.7,32
33.0,62.6,48.3,80.7,32
33.1,63.2,48.9,81.2,31
33.2,64.6,48.9,81.0,32
33.3,64.6,48.9,84.3,32
33.4,64.7,49.0,84.0,33
33.5,65.9,49.5,84.3,32
33.6,67.1,51.8,84.3,32
33.7,67.3,56.3,86.8,32
33.8,68.1,55.6,87.1,30
33.9,68.6,56.3,87.0,31
34.0,69.4,57.2,87.1,30
34.1,70.3,58.5,87.1,29
34.2,71.6,58.3,87.2,28
34.3,71.7,58.2,85.6,27
34.4,71.7,58.5,85.8,29
34.5,72.2,59.2,86.1,27
34.6,72.6,60.3,85.9,28
34.7,72.2,60.1,85.0,27
34.8,71.3,59.4,84.0,24
34.9,70.9,59.6,83.5,25
35.0,71.0,61.3,84.0,24
35.1,70.0,62.0,84.0,24
35.2,70.0,59.7,83.1,26
35.3,69.7,58.9,80.6,23
35.4,69.7,58.9,80.6,23
35.5,68.6,58.7,80.3,22
35.6,68.6,58.7,80.3,22
35.7,67.5,58.0,78.5,23
35.8,69.7,58.4,78.5,21
35.9,70.0,58.7,78.2,22
36.0,70.3,58.7,78.2,22
36.1,70.9,60.9,78.5,21
36.2,71.3,64.0,78.5,20
36.3,70.3,62.8,76.8,18
36.4,69.7,63.4,76.5,19
36.5,70.9,63.4,79.1,19
36.6,71.8,64.0,80.5,20
36.7,71.8,63.4,80.5,20
36.8,71.8,62.3,80.7,18
36.9,70.9,58.3,80.6,19
37.0,71.8,58.3,80.7,18
