km,bed,stage_fit,A,W_top,W_eq,hma,W_top_5,W_top_10,W_top_20
60.6,733.9,35.1,7870,288,224,1,200,216,248
60.7,732.3,35.0,7872,320,225,1,184,200,232
60.8,729.1,34.6,7368,296,213,1,160,176,248
60.9,724.9,29.7,5841,272,197,1,144,168,224
61.0,721.1,29.7,4997,232,168,1,88,176,216
61.1,718.2,29.7,5105,224,172,1,88,176,200
61.2,717.2,29.3,4350,248,148,1,40,136,200
61.3,714.1,29.2,4010,200,137,1,40,48,192
61.4,713.1,29.2,5380,216,184,1,168,184,208
61.5,711.2,28.1,4760,200,169,1,152,176,192
61.6,709.2,27.9,4691,240,168,1,120,136,224
61.7,705.2,27.6,4242,272,154,1,104,120,208
61.8,703.2,27.2,4447,312,164,1,72,88,224
61.9,700.8,27.2,4549,264,167,1,88,160,208
62.0,697.3,26.7,4636,288,174,1,80,144,240
62.1,694.9,25.0,4205,256,168,1,88,168,224
62.2,690.7,24.6,2460,176,100,1,16,112,160
62.3,689.3,24.6,2516,168,102,1,64,88,136
62.4,687.1,25.4,3669,208,144,1,120,144,168
62.5,684.1,26.1,3554,192,136,1,112,136,160
62.6,682.4,26.1,4334,280,166,1,128,152,192
62.7,679.7,26.1,5677,360,218,1,80,192,320
62.8,677.1,25.4,6026,336,237,1,72,296,320
62.9,675.2,25.0,5941,336,238,1,88,256,312
63.0,672.6,25.0,5836,320,233,1,80,264,304
63.1,670.1,24.6,4487,264,182,1,64,200,256
63.2,667.5,25.0,4357,248,174,1,96,136,248
63.3,664.5,24.3,4116,240,169,1,104,184,232
63.4,663.0,24.1,4543,256,189,1,112,216,240
63.5,661.4,24.1,3091,184,128,1,72,128,168
63.6,659.6,24.6,3259,192,132,1,72,112,184
63.7,657.2,28.4,3904,248,137,1,80,128,160
63.8,656.1,28.5,5616,360,197,1,64,144,312
63.9,654.1,28.5,5700,344,200,1,40,136,296
64.0,652.7,28.5,7137,376,250,1,88,232,336
64.1,650.1,28.9,7173,368,248,1,120,256,312
64.2,647.5,28.9,5299,272,183,1,80,192,224
64.3,645.8,28.6,5390,296,188,1,120,176,240
64.4,644.3,28.6,5420,280,190,1,112,184,232
64.5,642.5,28.6,5240,264,183,1,104,184,224
64.6,639.2,25.1,3581,216,143,1,72,160,192
64.7,639.0,24.4,3127,224,128,1,24,128,200
64.8,635.5,24.7,3314,248,134,1,56,88,192
64.9,633.8,27.0,4433,256,164,1,80,152,216
65.0,632.1,28.1,5551,280,198,1,64,200,248
65.1,630.1,28.6,5786,288,202,1,56,216,256
65.2,627.7,28.9,5699,288,197,1,64,208,256
65.3,625.9,28.9,4653,280,161,1,72,144,192
65.4,625.8,29.0,5103,248,176,1,136,176,208
65.5,623.3,29.0,4854,248,167,1,88,160,208
65.6,621.4,29.0,5755,368,198,1,80,176,240
65.7,620.5,29.0,6503,360,224,1,120,184,312
65.8,618.7,29.0,6183,344,213,1,64,192,280
65.9,617.6,29.0,4856,320,167,1,64,136,224
66.0,616.5,29.3,4822,304,165,1,64,128,216
66.1,614.3,29.6,4885,328,165,1,64,112,208
66.2,613.5,29.0,5283,320,182,1,88,144,240
66.3,611.4,29.0,4486,232,155,1,80,136,216
66.4,610.2,29.0,3425,192,118,1,72,80,160
66.5,609.6,28.6,7207,336,252,1,176,232,312
66.6,608.4,28.2,5180,336,184,1,72,88,304
66.7,606.2,28.2,4373,272,155,1,64,88,256
66.8,606.1,28.6,4720,304,165,1,64,88,248
66.9,604.8,28.4,4295,256,151,1,64,80,232
67.0,603.6,29.0,4031,224,139,1,64,80,216
67.1,602.7,27.9,3738,208,134,1,64,88,200
67.2,602.3,28.2,4660,264,165,1,72,128,232
67.3,600.9,28.2,5292,312,188,1,72,160,272
67.4,598.9,27.6,5507,400,200,1,56,96,352
67.5,598.2,27.2,14311,1136,526,1,56,104,936
67.6,597.4,27.2,12999,1120,478,1,72,224,808
67.7,596.1,27.1,6538,520,241,1,64,128,336
67.8,593.9,27.1,6284,576,232,1,72,120,384
67.9,592.7,24.5,5427,608,221,1,72,112,416
68.0,591.8,25.9,6579,584,254,1,80,200,376
68.1,590.3,24.5,4731,336,193,1,88,176,304
68.2,588.4,25.9,3104,200,120,1,80,88,176
68.3,587.6,25.9,3885,256,150,1,104,120,208
68.4,586.5,24.5,4120,264,168,1,104,136,256
68.5,585.1,25.4,4778,384,188,1,104,128,248
68.6,583.0,26.0,4623,352,178,1,72,112,280
68.7,582.5,26.0,5725,472,220,1,104,152,280
68.8,581.0,26.4,6313,512,239,1,104,128,280
68.9,579.0,26.4,5453,472,207,1,80,104,256
69.0,578.2,26.6,5135,448,193,1,32,80,248
69.1,577.7,26.6,4882,448,184,1,72,72,352
69.2,575.8,26.4,4630,440,175,1,64,104,232
69.3,575.7,26.0,4418,344,170,1,88,104,272
69.4,576.6,25.7,5704,408,222,1,112,136,328
69.5,576.2,25.4,6521,368,257,1,112,240,360
69.6,571.8,24.9,6141,432,247,1,152,168,336
69.7,570.3,24.9,4670,328,188,1,104,120,288
69.8,568.7,25.4,3705,288,146,1,64,88,240
69.9,568.0,25.4,3661,272,144,1,64,96,224
70.0,567.0,25.7,3329,232,130,1,56,80,200
70.1,566.4,25.0,3926,256,157,1,88,104,240
70.2,565.8,25.0,4176,288,167,1,96,112,248
70.3,564.4,25.0,3543,272,142,1,88,104,216
70.4,563.3,24.8,2770,256,112,1,56,64,200
70.5,562.6,25.0,3101,248,124,1,48,64,224
70.6,560.7,25.6,4017,312,157,1,72,104,256
70.7,559.8,25.6,4428,304,173,1,88,144,264
70.8,557.8,25.5,5077,336,199,1,104,192,296
70.9,556.4,25.5,4092,288,160,1,56,144,256
71.0,556.7,25.7,3720,256,145,1,88,112,216
71.1,555.0,25.7,2655,176,103,1,64,80,136
71.2,554.2,25.7,3088,232,120,1,72,96,168
71.3,554.1,25.5,3181,208,125,1,80,104,160
71.4,553.8,25.8,3790,240,147,1,80,120,200
71.5,552.6,25.5,3705,232,145,1,88,128,192
71.6,550.7,25.4,3494,288,138,1,72,104,160
71.7,549.5,25.4,3670,264,144,1,72,112,216
71.8,548.9,25.2,3349,200,133,1,64,80,192
71.9,547.4,25.1,3565,264,142,1,88,112,200
72.0,547.7,24.8,3400,232,137,1,48,88,216
72.1,546.5,24.4,3339,200,137,1,96,112,184
72.2,546.4,24.4,3467,304,142,1,80,112,216
72.3,545.7,24.4,3245,304,133,1,56,104,168
72.4,544.4,24.4,3575,304,147,1,72,112,224
72.5,543.7,24.4,4143,328,170,1,64,64,320
72.6,542.9,23.9,4158,368,174,1,80,104,304
72.7,542.6,23.9,3997,304,167,1,88,112,264
72.8,540.8,22.9,2829,216,124,1,80,88,200
72.9,539.4,22.4,2768,240,124,1,72,112,208
73.0,539.9,21.5,3500,296,163,1,96,152,280
73.1,538.5,20.9,3940,384,189,1,104,144,376
73.2,536.1,20.9,4403,440,211,1,120,152,440
73.3,535.7,20.9,5609,448,268,1,128,200,440
73.4,535.3,21.4,8610,760,402,1,104,464,752
73.5,534.7,22.1,11813,728,535,1,496,512,720
73.6,534.3,24.8,10043,576,405,1,312,424,560
73.7,533.1,26.0,9138,584,351,1,80,272,528
73.8,531.7,27.3,12269,888,449,1,64,232,712
73.9,529.6,28.0,14764,840,527,1,96,224,800
74.0,528.7,28.4,26576,1576,936,1,64,144,1016
74.1,528.3,28.6,19945,1104,697,1,72,120,424
74.2,526.4,28.6,5174,376,181,1,72,104,248
74.3,524.2,28.5,9300,616,326,1,64,88,256
74.4,523.8,28.5,5684,384,199,1,72,96,288
74.5,523.5,28.5,4647,352,163,1,64,80,248
74.6,522.9,28.5,4896,344,172,1,80,104,240
74.7,520.0,28.5,4555,328,160,1,96,112,216
74.8,517.6,28.5,3525,248,124,1,48,80,176
74.9,518.4,28.5,3029,224,106,1,64,80,128
75.0,517.6,28.5,3614,240,127,1,64,72,144
