run,km,model,fit,p10,p90,n_points,inside,scored
"v10 wet near-miss (123 Mm3, 81% water)",66.0,16.62,29.30,22.80,43.50,32,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.1,16.65,29.60,22.90,43.60,33,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.2,16.68,29.00,22.30,43.40,35,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.3,16.70,29.00,22.40,43.20,37,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.4,16.73,29.00,21.60,43.20,37,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.5,16.77,28.60,20.90,42.90,39,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.6,16.82,28.20,17.50,42.90,39,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.7,16.86,28.20,17.50,42.90,39,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.8,16.91,28.60,18.80,43.20,37,0,1
"v10 wet near-miss (123 Mm3, 81% water)",66.9,16.92,28.40,16.70,43.00,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.0,16.94,29.00,16.70,43.20,37,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.1,16.96,27.90,16.60,42.30,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.2,16.98,28.20,16.60,42.10,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.3,16.97,28.20,16.60,41.30,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.4,16.96,27.60,16.60,38.40,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.5,16.94,27.20,16.60,38.40,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.6,16.93,27.20,16.10,38.80,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.7,16.92,27.10,16.20,38.40,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.8,16.90,27.10,16.20,35.10,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",67.9,16.88,24.50,16.60,35.10,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.0,16.87,25.90,16.60,32.60,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.1,17.16,24.50,16.60,30.00,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.2,17.46,25.90,16.60,30.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.3,17.75,25.90,16.20,30.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.4,18.05,24.50,16.20,30.00,35,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.5,18.71,25.40,16.10,30.00,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.6,19.38,26.00,16.40,30.00,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.7,20.05,26.00,17.30,30.50,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.8,20.71,26.40,18.10,30.90,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",68.9,21.77,26.40,18.90,30.80,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.0,22.83,26.60,20.50,31.10,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.1,23.89,26.60,20.00,31.10,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.2,24.95,26.40,20.10,31.10,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.3,26.00,26.00,19.60,30.70,40,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.4,27.04,25.70,19.50,30.70,39,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.5,28.09,25.40,19.40,30.80,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.6,29.14,24.90,19.90,30.90,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.7,29.53,24.90,19.40,30.80,38,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.8,29.92,25.40,19.30,30.90,36,1,1
"v10 wet near-miss (123 Mm3, 81% water)",69.9,30.31,25.40,19.10,30.90,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.0,30.70,25.70,19.10,31.00,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.1,29.83,25.00,18.90,30.70,31,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.2,28.96,25.00,19.10,30.60,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.3,28.09,25.00,19.10,30.30,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.4,27.22,24.80,19.10,30.30,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.5,27.43,25.00,19.10,30.90,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.6,27.64,25.60,19.70,31.00,32,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.7,27.85,25.60,20.00,31.20,34,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.8,28.06,25.50,19.90,31.20,33,1,1
"v10 wet near-miss (123 Mm3, 81% water)",70.9,28.15,25.50,19.90,30.90,33,1,1
